"","taxon_oid","NCBI.Assembly.Accession","Species","Biotic.Relationships","Habitat","Isolation","Phenotype","Relevance","Host.Name","Diseases","Ecosystem","Ecosystem.Category","Ecosystem.Subtype","Ecosystem.Type","Specific.Ecosystem"
"35",2925744883,"GCA_003850545.1","Pseudomonas sp. CMR5c",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"36",2645727682,"GCA_000875995.1","Pseudomonas putida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2938996655,"GCA_003293325.1","Pseudomonas thivervalensis",NA,NA,"Solanum capsicoides fruit",NA,"Agricultural",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"38",2931063589,"GCA_029504155.1","Pseudomonas silensiensis",NA,NA,"Soil",NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"39",2734482514,"GCA_001375095.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2563366523,NA,"Pseudomonas corrugata","Free living",NA,"Cultivation field",NA,NA,"Tomato",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"41",2875548937,"GCA_900475215.1","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",8044759537,"GCA_001400475.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution","Cucumis sativus",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"43",2980600606,"GCA_003332705.2","Pseudomonas aeruginosa",NA,NA,"eye",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"44",2599185166,"GCA_900113795.1","Pseudomonas sp. NFPP08",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"45",2918554024,"GCA_024169705.1","Pseudomonas lini",NA,NA,"Soil",NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"46",8046774930,"GCA_030291635.1","Pseudomonas kurunegalensis",NA,"Soil","soil",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"47",8044623362,"GCA_002115545.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"48",8052295420,"GCA_003413305.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Phaseolus vulgaris",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"49",2852657418,NA,"Pseudomonas sp. JAI115",NA,NA,"Isolated from rhizosphere soil",NA,NA,"Ammophila breviligulata",NA,"Host-associated","Plants","Rhizosphere","Roots","Soil"
"50",2806311028,"GCA_002091495.1","Pseudomonas alcaliphila",NA,"Marine, Aquatic","Seawater",NA,NA,NA,NA,"Environmental","Aquatic","Unclassified","Marine","Unclassified"
"51",2806310737,"GCA_002309555.1","Pseudomonas mosselii",NA,NA,"rhizosphere soil around rice plants",NA,NA,NA,NA,"Host-associated","Plants","Unclassified","Rhizome","Unclassified"
"52",2516653056,NA,"Pseudomonas cannabina",NA,"Plants","Cultivation field",NA,"Plant Pathogen",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"53",8054929484,"GCA_025447535.1","Pseudomonas vlassakiae",NA,NA,"rice rhizosphere",NA,"Agricultural","Oryza sativa",NA,"Host-associated","Plants","Rhizosphere","Roots","Unclassified"
"54",2721755607,"GCA_001747385.1","Pseudomonas fluorescens",NA,NA,"Rhizosphere soil",NA,"Environmental",NA,NA,"Host-associated","Plants","Rhizosphere","Roots","Soil"
"55",2568526708,"GCA_000481245.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"56",2645727551,"GCA_001294215.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"57",2671180286,"GCA_001466875.1","Pseudomonas syringae",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"58",2728369429,"GCA_002010815.1","Pseudomonas sp. JdFR-91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2588253838,"GCA_000416685.1","Pseudomonas syringae",NA,NA,NA,NA,NA,"Actinidia",NA,"Host-associated","Unclassified","Unclassified","Unclassified","Unclassified"
"60",8070856031,"GCA_004372645.1","Pseudomonas aeruginosa",NA,NA,"sandy soil contaminated with hydrocarbons for 50 years",NA,"Model Organism",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Oil-contaminated"
"61",2718218367,"GCA_001722025.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Oral cavity","Digestive system","Unclassified"
"62",2700989445,"GCA_000505905.1","Pseudomonas aeruginosa",NA,NA,"sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"63",2888807965,"GCA_900455365.1","Pseudomonas aeruginosa",NA,"Human blood","Human blood",NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Blood","Circulatory system","Unclassified"
"64",2872554397,"GCA_003852375.1","Pseudomonas sp. R4-34-07",NA,NA,"wheat rhizosphere",NA,"Agricultural","Triticum sp.",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"65",2734482508,"GCA_001373835.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2877826310,"GCA_004323795.1","Pseudomonas syringae",NA,NA,NA,NA,"Agricultural","Solanum lycopersicoides",NA,"Host-associated","Unclassified","Unclassified","Unclassified","Unclassified"
"67",8070892781,"GCA_004374405.1","Pseudomonas aeruginosa",NA,NA,"sputum",NA,"Model Organism","Homo sapiens","Cystic Fibrosis","Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"68",2630968609,"GCA_000935825.1","Pseudomonas avellanae",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"69",2806311032,"GCA_002323035.1","Pseudomonas congelans",NA,NA,NA,NA,"Evolution","Arabidopsis thaliana",NA,"Host-associated","Unclassified","Unclassified","Unclassified","Unclassified"
"70",2988734134,"GCA_003122305.1","Pseudomonas prosekii",NA,NA,NA,NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"71",2740892054,"GCA_001554425.1","Pseudomonas aeruginosa",NA,NA,"Sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"72",3007252601,"GCA_001839645.2","Pseudomonas punonensis",NA,NA,"roots of desert plants",NA,"Agricultural",NA,NA,"Host-associated","Plants","Unclassified","Roots","Unclassified"
"73",2713897255,"GCA_001401135.1","Pseudomonas syringae group genomosp. 3",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"74",2791355644,"GCA_002001065.1","Pseudomonas sp. A25(2017)",NA,NA,"Soil, pH 7.4",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"75",8035502549,"GCA_001904985.1","Pseudomonas protegens",NA,NA,"stem",NA,"Environmental","Piper auritum",NA,"Host-associated","Plants","Stem","Phyllosphere","Unclassified"
"76",8011350971,"GCA_017491605.1","Pseudomonas sp. 30_B",NA,NA,"rice rhizosphere",NA,"Environmental","rice",NA,"Host-associated","Plants","Unclassified","Rhizome","Unclassified"
"77",3007776982,"GCA_006094435.1","Pseudomonas sp. MPC6",NA,NA,NA,NA,"Industrial",NA,NA,NA,NA,NA,NA,NA
"78",8046155828,"GCA_023093875.1","Pseudomonas chengduensis",NA,NA,NA,NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"79",8044120639,"GCA_003701985.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"80",8044546155,"GCA_003700145.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"81",2870350189,"GCA_003852005.1","Pseudomonas chlororaphis",NA,NA,"tomato rhizosphere",NA,"Agricultural","Solanum lycopersicum",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"82",2684623234,"GCA_000816985.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"83",2571042301,"GCA_000568235","Pseudomonas aeruginosa",NA,NA,NA,NA,"Evolution","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"84",2962501950,"GCA_002736045.1","Pseudomonas putida",NA,NA,"Surface sterilized roots of Sida hermaphrodita",NA,"Environmental",NA,NA,"Host-associated","Plants","Phylloplane/Leaf surface","Phyllosphere","Unclassified"
"85",2505679086,"GCA_000280805.1","Pseudomonas fluorescens","Free living","Fresh water, Host, Soil",NA,"Pathogen","Human Pathogen, Medical","Agaricus bisporus","None","Host-associated","Fungi","Unclassified","Unclassified","Unclassified"
"86",8087597119,"GCA_030544685.1","Pseudomonas sp. B21_DOA",NA,NA,NA,NA,"Agricultural","Vitis vinifera",NA,NA,NA,NA,NA,NA
"87",2554235131,"GCA_000411675.1","Pseudomonas fluorescens",NA,NA,NA,NA,"Agricultural","Agaricus bisporus",NA,"Host-associated","Unclassified","Unclassified","Unclassified","Unclassified"
"88",2579779047,"GCA_000629205.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"89",2671181143,"GCA_001042975.1","Pseudomonas weihenstephanensis",NA,NA,"Raw cow's milk",NA,"Evolution",NA,NA,"Engineered","Food production","Unclassified","Dairy products","Unclassified"
"90",2980661746,"GCA_003627215.1","Pseudomonas sp. Leaf58",NA,NA,"Arabidopsis leaf",NA,"Agricultural",NA,NA,"Host-associated","Plants","Phylloplane/Leaf surface","Phyllosphere","Unclassified"
"91",2867863894,NA,"Pseudomonas sihuiensis",NA,NA,"Hiwassee River sediments Calhoun, TN",NA,NA,NA,NA,"Environmental","Aquatic","River","Freshwater","Unclassified"
"92",8061601302,"GCA_900602725.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2599185182,"GCA_900110785.1","Pseudomonas sp. NFPP19",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"94",2791355637,"GCA_002882095.1","Pseudomonas sp. FW306-2-1A-C05A",NA,NA,"Groundwater from well: FW306",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"95",2842815866,NA,"unclassified",NA,NA,"Plant root",NA,NA,NA,NA,"Host-associated","Plants","Unclassified","Roots","Unclassified"
"96",2508501056,"GCA_000145685.1","Pseudomonas amygdali","Free living","Plants",NA,"Pathogen","Agricultural, Plant Pathogen",NA,"Plant rot",NA,NA,NA,NA,NA
"97",2728368932,"GCA_001537955.1","Pseudomonas amygdali",NA,NA,"Plant material",NA,"Evolution",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"98",2872566744,"GCA_900618335.1","Pseudomonas aeruginosa",NA,NA,"hospital",NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"99",2998250349,"GCA_900187565.1","Pseudomonas sp. Irchel 3A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2505313048,NA,"Pseudomonas syringae","Free living","Plants","Raphanus sativus",NA,"Evolution, Plant Pathogen","Brassica oleracea","Pepper spot","Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"102",2597490269,"GCA_000512695.1","Pseudomonas sp. QTF5",NA,"Permafrost soil, Soil","Permafrost soil",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Permafrost"
"103",2718217765,"GCA_001721825.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Oral cavity","Digestive system","Unclassified"
"104",8011320407,"GCA_015680235.1","Pseudomonas guariconensis",NA,NA,"fish",NA,"Agricultural",NA,NA,"Host-associated","Fish","Unclassified","Unclassified","Unclassified"
"105",3007364163,"GCA_900585905.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",8072897671,"GCA_900145425.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"107",2599185302,"GCA_900119645.1","Pseudomonas sp. NFACC43",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"108",2700989439,"GCA_000506005.1","Pseudomonas aeruginosa",NA,NA,"sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"109",2767802284,"GCA_002037565.1","Pseudomonas sp. LPH1",NA,NA,"Coisolated with amoeba LPG3, from freshwater residential lily pond",NA,NA,NA,NA,"Engineered","Food production","Unclassified","Unclassified","Unclassified"
"110",8072915502,"GCA_900145505.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"111",8088461797,"GCA_028747945.1","Pseudomonas chlororaphis",NA,NA,NA,NA,"Industrial",NA,NA,NA,NA,NA,NA,NA
"112",2885994973,"GCA_001945445.1","Pseudomonas sp. PA27(2017)",NA,NA,"leaf",NA,"Agricultural","Piper auritum",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"113",2713897222,"GCA_001269595.1","Pseudomonas chlororaphis",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"114",2791355528,"GCA_002883415.1","Pseudomonas sp. GW456-L12",NA,NA,"Groundwater from well: GW456",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"115",2738541226,NA,"Pseudomonas psychrophila",NA,NA,NA,NA,NA,NA,NA,"Engineered","Food production","Unclassified","Dairy products","Unclassified"
"116",2519899622,"GCA_000278565.1","Pseudomonas sp. Ag1",NA,"Host","Mosquito gut, after a blood meal",NA,"Medical","Anopheles gambiae",NA,"Host-associated","Arthropoda: Insects","Unclassified","Digestive system","Unclassified"
"117",2548876749,"GCA_000245455.1","Pseudomonas syringae",NA,"Plants","Bacterial canker of kiwi fruit","Parasite","Agricultural","Actinidia","Bacterial canker","Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"118",2506783029,"GCA_000452725","Pseudomonas syringae","Free living","Aquatic, Fresh water, Lake","For?ant Lake near Fontgillard, France",NA,"Agricultural",NA,NA,"Environmental","Aquatic","Lentic","Freshwater","Unclassified"
"119",8044778903,"GCA_002905755.1","Pseudomonas amygdali",NA,NA,NA,NA,"Agricultural","Prunus avium",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"120",2850966357,"GCA_002946935.1","Pseudomonas aeruginosa",NA,NA,"urine",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Urine","Urinary system","Unclassified"
"121",2775507209,"GCA_002843605.1","Pseudomonas sp. S09G 359",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"122",648276718,"GCA_000177455.1","Pseudomonas syringae group genomosp. 3","Free living","Plants","tomato seedling in Virginia in spring 2005","Pathogen","Agricultural, Plant Pathogen","Solanum lycopersicum","Plant rot","Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"123",2808606373,NA,"Pseudomonas sp. SLBN-2",NA,NA,"Rice root",NA,NA,"Oryza sativa",NA,"Host-associated","Plants","Unclassified","Roots","Unclassified"
"124",2998238523,"GCA_003605735.1","Pseudomonas sp. LS-2",NA,NA,NA,NA,"Agricultural","Gastrodia elata",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"125",2857690720,NA,"Pseudomonas sp. H1D6A",NA,NA,"Yellowstone National Park Soil",NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"126",2962458821,"GCA_003691345.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2675903486,"GCA_001400235.1","Pseudomonas syringae pv. coryli",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"128",2548876969,"GCA_000316215.1","Pseudomonas tolaasii",NA,NA,NA,"Parasite","Agricultural","Pleurotus ostreatus",NA,"Host-associated","Fungi","Unclassified","Unclassified","Unclassified"
"129",2548876758,"GCA_000291745.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"130",8044142683,"GCA_003415945.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution","Coffea arabica",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"131",8061528127,"GCA_900601045.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2791355564,"GCA_002881835.1","Pseudomonas sp. GP01-A6",NA,NA,"Groundwater from well: GP01",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"133",8035304219,"GCA_003416175.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution","Coffea arabica",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"134",2897160482,"GCA_004355125.1","Pseudomonas aeruginosa",NA,NA,"Cystic Fibrosis lung sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"135",2938983465,"GCA_003074095.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"136",8073310260,"GCA_023093955.2","Pseudomonas aeruginosa",NA,NA,"urine",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Urine","Urinary system","Unclassified"
"137",2925711178,"GCA_900243355.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",3007855910,"GCA_014268505.2","Pseudomonas khorasanensis",NA,NA,"Wheat rhizosphere",NA,"Environmental",NA,NA,"Host-associated","Plants","Rhizosphere","Roots","Unclassified"
"139",2880211950,"GCA_002741075.1","Pseudomonas putida",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"140",2579778620,"GCA_000481545.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"141",2744054677,"GCA_001623955.1","Pseudomonas aeruginosa",NA,NA,"wound swab",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2724679038,"GCA_001500245.1","Pseudomonas aeruginosa",NA,NA,"cystic fibrosis airway",NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"143",2791355594,"GCA_002884075.1","Pseudomonas sp. GW247-5R2A",NA,NA,"Groundwater from well: GW247",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"144",2695420489,"GCA_001420185.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Model Organism",NA,NA,NA,NA,NA,NA,NA
"145",2740892462,"GCA_000955805.1","Pseudomonas sp. 21",NA,NA,"Soil",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"146",2681813057,"GCA_001476435.1","Pseudomonas psychrotolerans",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"147",2599185317,"GCA_900112875.1","Pseudomonas sp. NFACC06-1",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"148",2684623070,"GCA_001606045.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"149",2545824569,NA,"Pseudomonas sp. CC120222-01a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2912963787,"GCA_009866705.1","Pseudomonas sp. R32",NA,NA,"rhizosphere soil",NA,"Agricultural","Solanum tuberosum",NA,"Host-associated","Plants","Rhizosphere","Roots","Unclassified"
"152",2706794599,"GCA_001028745.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",8078878518,"GCA_019719005.1","Pseudomonas cichorii",NA,NA,NA,NA,"Agricultural","Nicotiana tabacum L.",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"154",8044680337,"GCA_900590155.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2700989541,"GCA_001467155.1","Pseudomonas sp. ABAC21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2548876508,"GCA_000276565.1","Pseudomonas tolaasii",NA,NA,NA,NA,NA,"Agaricus bisporus",NA,"Host-associated","Fungi","Unclassified","Unclassified","Unclassified"
